DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS,ID DEPARTAMENTO,HORA DEMANDA MÁXIMA,AÑO
NARIÑO,52390.0,LA TOLA,52390016.0,SAN PABLO DEL MAR (LA TOLA - NARIÑO),2020.0,1.0,4497,805.0,35.42,domingo,2020-01-31 18:45:00,5.34,52.0,18:45:00,
NARIÑO,52490.0,OLAYA HERRERA,52490913.0,BOCA DE PRIETA (OLAYA HERRERA - NARIÑO),2020.0,1.0,3143,624.0,21.84,miércoles,2020-01-31 18:45:00,5.33,52.0,18:45:00,
NARIÑO,52490.0,OLAYA HERRERA,52490008.0,SAN JOSÉ CALABAZAL (OLAYA HERRERA - NARIÑO),2020.0,1.0,5320,1723.0,44.57,sábado,2020-01-31 18:45:00,4.3,52.0,18:45:00,
NARIÑO,52835.0,SAN ANDRÉS DE TUMACO,52835055.0,BOCAS DE CURAY (TUMACO - NARIÑO),2020.0,1.0,6548,1273.0,57.6,viernes,2020-01-31 18:45:00,4.37,52.0,18:45:00,
NARIÑO,52835.0,SAN ANDRÉS DE TUMACO,52835012.0,CHAJAL (TUMACO - NARIÑO),2020.0,1.0,3350,902.0,145.55,lunes,2020-01-31 18:45:00,0.55,52.0,18:45:00,
NARIÑO,52835.0,SAN ANDRÉS DE TUMACO,52835016.0,PITAL DE LA COSTA (TUMACO - NARIÑO),2020.0,1.0,16992,9518.0,88.0,sábado,2020-01-31 18:45:00,8.36,52.0,18:45:00,
NARIÑO,52835.0,SAN ANDRÉS DE TUMACO,52835212.0,PUEBLO NUEVO (TABLÓN SALADO) (TUMACO - NARIÑO),2020.0,1.0,2339,798.0,20.8,martes,2020-01-31 18:45:00,4.47,52.0,18:45:00,
NARIÑO,52835.0,SAN ANDRÉS DE TUMACO,52835217.0,SAN JUAN DE LA COSTA (SAN ANDRÉS DE TUMACO - NARIÑO),2020.0,1.0,19090,9321.0,153.6,martes,2020-01-31 18:45:00,5.54,52.0,18:45:00,
NARIÑO,52835.0,SAN ANDRÉS DE TUMACO,52835091.0,SANTA ROSA (TUMACO - NARIÑO),2020.0,1.0,1250,328.0,31.81,martes,2020-01-31 18:45:00,1.33,52.0,18:45:00,
NARIÑO,52835.0,SAN ANDRÉS DE TUMACO,52835148.0,TABLÓN DULCE LA PAMPA (TUMACO - NARIÑO),2020.0,1.0,1487,388.0,28.1,lunes,2020-01-31 18:45:00,2.19,52.0,18:45:00,
NARIÑO,52696.0,SANTA BÁRBARA (ISCUANDÉ),52696014.0,LA ENSENADA (SANTA BÁRBARA (ISCUANDÉ) - NARIÑO),2020.0,1.0,4466,5060.0,28.35,martes,2020-01-31 18:45:00,5.49,52.0,18:45:00,
NARIÑO,52696.0,SANTA BÁRBARA (ISCUANDÉ),52696017.0,SANTA RITA (SANTA BARBARA (ISCUANDÉ) - NARIÑO),2020.0,1.0,2126,1005.0,37.76,jueves,2020-01-31 18:45:00,2.15,52.0,18:45:00,
PUTUMAYO,86573.0,PUERTO LEGUÍZAMO,86573009.0,PIÑUÑA NEGRO (PUERTO LEGUÍZAMO - PUTUMAYO),2020.0,1.0,3942,1771.0,28.8,domingo,2020-02-28 19:45:00,6.15,86.0,19:45:00,
PUTUMAYO,86573.0,PUERTO LEGUÍZAMO,86573000.0,PUERTO LEGUÍZAMO (PUERTO LEGUÍZAMO - PUTUMAYO),2020.0,1.0,934496,349113.0,2149.84,martes,2020-02-28 19:45:00,23.57,86.0,19:45:00,
VALLE DEL CAUCA,76109.0,BUENAVENTURA,76109028.0,PUERTO MERIZALDE (BUENAVENTURA - VALLE DEL CAUCA),2020.0,1.0,43466,13886.0,254.14,sábado,2020-01-31 23:45:00,6.29,76.0,23:45:00,
VALLE DEL CAUCA,76109.0,BUENAVENTURA,76109032.0,SAN FRANCISCO NAYA (BUENAVENTURA - VALLE DEL CAUCA),2020.0,1.0,6560,2113.0,36.58,viernes,2020-01-31 23:45:00,7.0,76.0,23:45:00,
VAUPES,97161.0,CARURÚ,97161000.0,CARURÚ (CARURÚ - VAUPÉS),2020.0,1.0,26507,9259.0,97.68,viernes,2020-02-27 19:00:00,12.24,97.0,19:00:00,
VAUPES,97001.0,MITÚ,97001000.0,MITÚ (MITÚ - VAUPÉS),2020.0,1.0,1242033,394710.0,2633.77,viernes,2020-02-27 19:00:00,23.58,97.0,19:00:00,
VAUPES,97666.0,TARAIRA,97666000.0,TARAIRA (TARAIRA - VAUPÉS),2020.0,1.0,26536,9370.0,97.24,miércoles,2020-02-27 19:00:00,11.17,97.0,19:00:00,
VICHADA,99773.0,CUMARIBO,99773000.0,CUMARIBO (CUMARIBO - VICHADA),2020.0,1.0,269226,118700.0,579.92,martes,2020-02-14 18:30:00,21.49,99.0,18:30:00,
VICHADA,99524.0,LA PRIMAVERA,99524000.0,LA PRIMAVERA (LA PRIMAVERA - VICHADA),2020.0,1.0,351440,182493.0,705.25,jueves,2020-02-14 18:30:00,24.0,99.0,18:30:00,
VICHADA,99001.0,PUERTO CARREÑO,99001002.0,CASUARITO (PUERTO CARREÑO - VICHADA),2020.0,1.0,26425,11216.0,129.36,lunes,2020-02-14 18:30:00,8.43,99.0,18:30:00,
VICHADA,99001.0,PUERTO CARREÑO,99001000.0,PUERTO CARREÑO (PUERTO CARREÑO - VICHADA),2020.0,1.0,2346886,785884.0,4320.8,martes,2020-02-14 18:30:00,24.0,99.0,18:30:00,
VICHADA,99624.0,SANTA ROSALÍA,99624000.0,SANTA ROSALÍA (SANTA ROSALÍA - VICHADA),2020.0,1.0,130724,68540.0,323.52,jueves,2020-02-14 18:30:00,18.0,99.0,18:30:00,
AMAZONAS,91001.0,LETICIA,91001000.0,LETICIA (LETICIA - AMAZONAS),2020.0,2.0,3718227,1157331.0,7347.36,miércoles,2020-02-16 14:15:00,24.0,91.0,14:15:00,
