DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS,ID DEPARTAMENTO,HORA DEMANDA MÁXIMA,AÑO
CAUCA,19418.0,LÓPEZ DE MICAY,19418019.0,ZARAGOZA (LOPEZ DE MICAY - CAUCA),2021.0,3.0,12571,5929.0,64.22,martes,2020-01-15 18:45:00,9.45,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809014.0,CHACÓN (TIMBIQUÍ - CAUCA),2021.0,3.0,3820,752.0,32.26,domingo,2020-01-15 18:45:00,6.01,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809010.0,COMUNIDAD DE CHETE (TIMBIQUÍ - CAUCA),2021.0,3.0,5795,1927.0,39.46,miércoles,2020-01-15 18:45:00,5.43,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809003.0,COTEJE (TIMBIQUÍ - CAUCA),2021.0,3.0,7011,3916.0,34.84,martes,2020-01-15 18:45:00,7.55,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809026.0,LOS BRAZOS (TIMBIQUÍ - CAUCA),2021.0,3.0,9598,1798.0,48.29,miércoles,2020-01-15 18:45:00,7.29,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809023.0,PUERTO SAIJA (TIMBIQUÍ - CAUCA),2021.0,3.0,29928,10306.0,196.24,jueves,2020-01-15 18:45:00,6.27,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809007.0,SAN JOSÉ (TIMBIQUÍ - CAUCA),2021.0,3.0,8306,5260.0,45.58,miércoles,2020-01-15 18:45:00,7.23,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809008.0,SANTA MARÍA (TIMBIQUÍ - CAUCA),2021.0,3.0,16936,6932.0,77.95,miércoles,2020-01-15 18:45:00,9.21,19.0,18:45:00,
CHOCO,27006.0,ACANDÍ,27006000.0,ACANDÍ (ACANDÍ - CHOCÓ),2021.0,3.0,595727,237934.0,1047.38,miércoles,2020-01-17 20:45:00,23.28,27.0,20:45:00,
CHOCO,27006.0,ACANDÍ,27006003.0,CAPURGANÁ (ACANDÍ - CHOCO),2021.0,3.0,297943,111120.0,882.11,lunes,2020-01-17 20:45:00,18.44,27.0,20:45:00,
CHOCO,27006.0,ACANDÍ,27006007.0,SAN FRANCISCO (ACANDÍ - CHOCÓ),2021.0,3.0,23597,8422.0,125.18,domingo,2020-01-17 20:45:00,8.41,27.0,20:45:00,
CHOCO,27025.0,ALTO BAUDÓ (PIE DE PATO),27025000.0,CIUDAD BAUDÓ - PIE DE PATO (ALTO BAUDÓ - CHOCÓ),2021.0,3.0,42941,12923.0,107.45,lunes,2020-01-17 20:45:00,21.1,27.0,20:45:00,
CHOCO,27075.0,BAHÍA SOLANO (MUTIS),27075000.0,CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ),2021.0,3.0,669196,223396.0,1265.0,miércoles,2020-01-17 20:45:00,23.56,27.0,20:45:00,
CHOCO,27075.0,BAHÍA SOLANO (MUTIS),27075001.0,CUPICA (BAHÍA SOLANO - CHOCÓ),2021.0,3.0,65429,26160.0,138.67,jueves,2020-01-17 20:45:00,23.34,27.0,20:45:00,
CHOCO,27075.0,BAHÍA SOLANO (MUTIS),27075002.0,EL VALLE (BAHÍA SOLANO - CHOCÓ),2021.0,3.0,154153,71647.0,343.99,jueves,2020-01-17 20:45:00,23.42,27.0,20:45:00,
CHOCO,27077.0,BAJO BAUDÓ (PIZARRO),27077905.0,BUENAVISTA (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2021.0,3.0,5262,801.0,30.98,jueves,2020-01-17 20:45:00,8.47,27.0,20:45:00,
CHOCO,27077.0,BAJO BAUDÓ (PIZARRO),27077000.0,PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2021.0,3.0,20858,99409.0,390.19,miércoles,2020-01-17 20:45:00,23.49,27.0,20:45:00,
CHOCO,27099.0,BOJAYÁ (BELLAVISTA),27099000.0,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ),2021.0,3.0,98984,31167.0,210.49,miércoles,2020-01-17 20:45:00,20.1,27.0,20:45:00,
CHOCO,27099.0,BOJAYÁ (BELLAVISTA),27099002.0,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2021.0,3.0,11694,5310.0,57.6,domingo,2020-01-17 20:45:00,8.3,27.0,20:45:00,
CHOCO,27099.0,BOJAYÁ (BELLAVISTA),27099005.0,NAPIPÍ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2021.0,3.0,9823,3074.0,60.8,miércoles,2020-01-17 20:45:00,5.46,27.0,20:45:00,
CHOCO,27099.0,BOJAYÁ (BELLAVISTA),27099008.0,PUERTO CONTO (BOJAYÁ (BELLAVISTA) - CHOCO),2021.0,3.0,10563,2695.0,72.0,sábado,2020-01-17 20:45:00,5.4,27.0,20:45:00,
CHOCO,27250.0,EL LITORAL DEL SAN JUAN,27250000.0,SANTA GENOVEVA DE DOCORDÓ (EL LITORAL DEL SAN JUAN - CHOCÓ),2021.0,3.0,72058,37684.0,184.54,lunes,2020-01-17 20:45:00,17.7,27.0,20:45:00,
CHOCO,27372.0,JURADÓ,27372000.0,JURADÓ (JURADÓ - CHOCÓ),2021.0,3.0,157427,75971.0,282.24,miércoles,2020-01-17 20:45:00,23.58,27.0,20:45:00,
CHOCO,27425.0,MEDIO ATRATO (BETÉ),27425000.0,BETÉ (MEDIO ATRATO (BETÉ) - CHOCÓ),2021.0,3.0,21814,11045.0,80.0,martes,2020-01-17 20:45:00,12.21,27.0,20:45:00,
CHOCO,27495.0,NUQUÍ,27495001.0,ARUSÍ (NUQUÍ - CHOCO),2021.0,3.0,11056,4850.0,48.0,martes,2020-01-17 20:45:00,9.09,27.0,20:45:00,
CHOCO,27495.0,NUQUÍ,27495912.0,COMUNIDAD INDÍGENA DE PANGUÍ - EL YUCAL (NUQUÍ - CHOCÓ),2021.0,3.0,3434,1048.0,11.24,lunes,2020-01-17 20:45:00,14.01,27.0,20:45:00,
CHOCO,27495.0,NUQUÍ,27495000.0,NUQUÍ (NUQUÍ - CHOCÓ),2021.0,3.0,256445,83318.0,505.47,jueves,2020-01-17 20:45:00,23.59,27.0,20:45:00,
CHOCO,27495.0,NUQUÍ,27495011.0,PUERTO JAGUA (NUQUÍ - CHOCÓ),2021.0,3.0,961,507.0,4.66,domingo,2020-01-17 20:45:00,9.54,27.0,20:45:00,
CHOCO,27800.0,UNGUÍA,27800001.0,BALBOA (UNGUÍA - CHOCÓ),2021.0,3.0,18512,7623.0,88.29,jueves,2020-01-17 20:45:00,9.1,27.0,20:45:00,
CHOCO,27800.0,UNGUÍA,27800005.0,TITUMATE (UNGUÍA - CHOCÓ),2021.0,3.0,17379,5246.0,74.62,martes,2020-01-17 20:45:00,11.23,27.0,20:45:00,
CHOCO,27800.0,UNGUÍA,27800000.0,UNGUÍA (UNGUÍA - CHOCÓ),2021.0,3.0,404312,149475.0,836.35,martes,2020-01-17 20:45:00,22.19,27.0,20:45:00,
GUAINIA,94343.0,BARRANCOMINAS,94343000.0,BARRANCOMINAS (BARRANCOMINAS - GUAINÍA),2021.0,3.0,52973,19162.0,189.22,sábado,2020-02-01 18:45:00,11.45,94.0,18:45:00,
GUAINIA,94001.0,INÍRIDA,94001000.0,INÍRIDA (INÍRIDA - GUAINÍA),2021.0,3.0,1657553,563245.0,3110.8,martes,2020-02-01 18:45:00,23.54,94.0,18:45:00,
GUAVIARE,95200.0,MIRAFLORES,95200000.0,MIRAFLORES (MIRAFLORES - GUAVIARE),2021.0,3.0,82981,30030.0,198.0,jueves,2020-02-15 19:15:00,19.14,95.0,19:15:00,
LA GUAJIRA,44847.0,URIBIA,44847012.0,NAZARETH (URIBIA - LA GUAJIRA),2021.0,3.0,31360,16391.0,223.92,martes,2020-01-11 19:30:00,6.47,44.0,19:30:00,
MAGDALENA,47189.0,CIÉNAGA,47189018.0,PALMOR (CIÉNAGA - MAGDALENA),2021.0,3.0,92616,32632.0,164.86,miércoles,2020-01-22 19:00:00,23.37,47.0,19:00:00,
META,50325.0,MAPIRIPÁN,50325000.0,MAPIRIPÁN (MAPIRIPÁN - META),2021.0,3.0,152534,63496.0,313.28,viernes,2020-01-08 18:30:00,23.48,50.0,18:30:00,
NARIÑO,52250.0,EL CHARCO,52250023.0,BAZÁN (EL CHARCO - NARIÑO),2021.0,3.0,20658,11334.0,10.08,jueves,2020-01-31 18:45:00,8.12,52.0,18:45:00,
NARIÑO,52250.0,EL CHARCO,52250003.0,BOLÍVAR - SAN PEDRO (EL CHARCO - NARIÑO),2021.0,3.0,4448,3343.0,21.22,miércoles,2020-01-31 18:45:00,8.0,52.0,18:45:00,
NARIÑO,52250.0,EL CHARCO,52250007.0,SAN JOSÉ DEL TAPAJE (EL CHARCO - NARIÑO),2021.0,3.0,15776,2962.0,88.0,martes,2020-01-31 18:45:00,7.54,52.0,18:45:00,
NARIÑO,52520.0,FRANCISCO PIZARRO,52520013.0,SAN PEDRO DEL VINO (FRANCISCO PIZARRO - NARIÑO),2021.0,3.0,5512,2615.0,27.78,miércoles,2020-01-31 18:45:00,8.06,52.0,18:45:00,
NARIÑO,52390.0,LA TOLA,52390005.0,AGUACATAL (LA TOLA - NARIÑO),2021.0,3.0,2216,516.0,11.92,miércoles,2020-01-31 18:45:00,7.05,52.0,18:45:00,
NARIÑO,52390.0,LA TOLA,52390013.0,AMÁRALES (LA TOLA - NARIÑO),2021.0,3.0,10957,2796.0,66.98,sábado,2020-01-31 18:45:00,6.59,52.0,18:45:00,
NARIÑO,52390.0,LA TOLA,52390003.0,LA VIGÍA DE LA MAR (LA TOLA - NARIÑO),2021.0,3.0,6328,2314.0,31.08,viernes,2020-01-31 18:45:00,8.23,52.0,18:45:00,
NARIÑO,52390.0,LA TOLA,52390009.0,MULATOS (LA TOLA - NARIÑO),2021.0,3.0,3919,2648.0,37.12,miércoles,2020-01-31 18:45:00,5.37,52.0,18:45:00,
NARIÑO,52390.0,LA TOLA,52390016.0,SAN PABLO DEL MAR (LA TOLA - NARIÑO),2021.0,3.0,5065,1278.0,31.65,viernes,2020-01-31 18:45:00,6.34,52.0,18:45:00,
NARIÑO,52490.0,OLAYA HERRERA,52490913.0,BOCA DE PRIETA (OLAYA HERRERA - NARIÑO),2021.0,3.0,2492,862.0,15.41,miércoles,2020-01-31 18:45:00,6.3,52.0,18:45:00,
NARIÑO,52490.0,OLAYA HERRERA,52490008.0,SAN JOSÉ CALABAZAL (OLAYA HERRERA - NARIÑO),2021.0,3.0,3721,1606.0,42.07,viernes,2020-01-31 18:45:00,5.5,52.0,18:45:00,
NARIÑO,52835.0,SAN ANDRÉS DE TUMACO,52835055.0,BOCAS DE CURAY (TUMACO - NARIÑO),2021.0,3.0,9526,5024.0,60.0,domingo,2020-01-31 18:45:00,6.38,52.0,18:45:00,
NARIÑO,52835.0,SAN ANDRÉS DE TUMACO,52835012.0,CHAJAL (TUMACO - NARIÑO),2021.0,3.0,20571,6991.0,140.8,viernes,2020-01-31 18:45:00,6.0,52.0,18:45:00,
NARIÑO,52835.0,SAN ANDRÉS DE TUMACO,52835016.0,PITAL DE LA COSTA (TUMACO - NARIÑO),2021.0,3.0,23858,13741.0,96.0,domingo,2020-01-31 18:45:00,10.44,52.0,18:45:00,
NARIÑO,52835.0,SAN ANDRÉS DE TUMACO,52835212.0,PUEBLO NUEVO (TABLÓN SALADO) (TUMACO - NARIÑO),2021.0,3.0,4061,1434.0,17.28,viernes,2020-01-31 18:45:00,10.37,52.0,18:45:00,
NARIÑO,52835.0,SAN ANDRÉS DE TUMACO,52835217.0,SAN JUAN DE LA COSTA (SAN ANDRÉS DE TUMACO - NARIÑO),2021.0,3.0,2788,10220.0,137.6,miércoles,2020-01-31 18:45:00,9.04,52.0,18:45:00,
NARIÑO,52835.0,SAN ANDRÉS DE TUMACO,52835091.0,SANTA ROSA (TUMACO - NARIÑO),2021.0,3.0,4717,1636.0,35.97,sábado,2020-01-31 18:45:00,6.35,52.0,18:45:00,
NARIÑO,52835.0,SAN ANDRÉS DE TUMACO,52835148.0,TABLÓN DULCE LA PAMPA (TUMACO - NARIÑO),2021.0,3.0,2059,940.0,23.49,sábado,2020-01-31 18:45:00,3.36,52.0,18:45:00,
NARIÑO,52696.0,SANTA BÁRBARA (ISCUANDÉ),52696014.0,LA ENSENADA (SANTA BÁRBARA (ISCUANDÉ) - NARIÑO),2021.0,3.0,2743,2629.0,18.78,miércoles,2020-01-31 18:45:00,6.0,52.0,18:45:00,
NARIÑO,52696.0,SANTA BÁRBARA (ISCUANDÉ),52696022.0,SECADERO (SANTA BÁRBARA (ISCUANDÉ) - NARIÑO),2021.0,3.0,2876,1933.0,12.72,miércoles,2020-01-31 18:45:00,9.11,52.0,18:45:00,
PUTUMAYO,86573.0,PUERTO LEGUÍZAMO,86573009.0,PIÑUÑA NEGRO (PUERTO LEGUÍZAMO - PUTUMAYO),2021.0,3.0,4475,2510.0,28.8,sábado,2020-02-28 19:45:00,7.02,86.0,19:45:00,
VALLE DEL CAUCA,76109.0,BUENAVENTURA,76109028.0,PUERTO MERIZALDE (BUENAVENTURA - VALLE DEL CAUCA),2021.0,3.0,56120,21235.0,294.98,miércoles,2020-01-31 23:45:00,7.38,76.0,23:45:00,
VALLE DEL CAUCA,76109.0,BUENAVENTURA,76109032.0,SAN FRANCISCO NAYA (BUENAVENTURA - VALLE DEL CAUCA),2021.0,3.0,6065,2597.0,28.16,sábado,2020-01-31 23:45:00,8.27,76.0,23:45:00,
VAUPES,97161.0,CARURÚ,97161000.0,CARURÚ (CARURÚ - VAUPÉS),2021.0,3.0,19606,5039.0,74.45,martes,2020-02-27 19:00:00,12.19,97.0,19:00:00,
VAUPES,97001.0,MITÚ,97001000.0,MITÚ (MITÚ - VAUPÉS),2021.0,3.0,1270436,382220.0,2717.27,lunes,2020-02-27 19:00:00,24.0,97.0,19:00:00,
VICHADA,99773.0,CUMARIBO,99773000.0,CUMARIBO (CUMARIBO - VICHADA),2021.0,3.0,308352,136167.0,640.2,jueves,2020-02-14 18:30:00,23.38,99.0,18:30:00,
VICHADA,99524.0,LA PRIMAVERA,99524000.0,LA PRIMAVERA (LA PRIMAVERA - VICHADA),2021.0,3.0,363668,168862.0,787.56,jueves,2020-02-14 18:30:00,23.12,99.0,18:30:00,
VICHADA,99001.0,PUERTO CARREÑO,99001002.0,CASUARITO (PUERTO CARREÑO - VICHADA),2021.0,3.0,30702,11079.0,104.19,miércoles,2020-02-14 18:30:00,11.5,99.0,18:30:00,
VICHADA,99001.0,PUERTO CARREÑO,99001000.0,PUERTO CARREÑO (PUERTO CARREÑO - VICHADA),2021.0,3.0,2573686,811894.0,4506.48,lunes,2020-02-14 18:30:00,24.0,99.0,18:30:00,
VICHADA,99624.0,SANTA ROSALÍA,99624000.0,SANTA ROSALÍA (SANTA ROSALÍA - VICHADA),2021.0,3.0,132848,66274.0,341.71,jueves,2020-02-14 18:30:00,16.19,99.0,18:30:00,
AMAZONAS,91001.0,LETICIA,91001000.0,LETICIA (LETICIA - AMAZONAS),2021.0,4.0,3367001,1036987.0,6684.89,jueves,2020-02-16 14:15:00,24.0,91.0,14:15:00,
AMAZONAS,91540.0,PUERTO NARIÑO,91540000.0,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2021.0,4.0,103983,36710.0,216.13,lunes,2020-02-16 14:15:00,24.0,91.0,14:15:00,
AMAZONAS,91798.0,TARAPACÁ (ANM),91798000.0,TARAPACÁ (TARAPACÁ (ANM) - AMAZONAS),2021.0,4.0,22200,10205.0,84.64,lunes,2020-02-16 14:15:00,10.17,91.0,14:15:00,
ANTIOQUIA,5873.0,VIGÍA DEL FUERTE,5873002.0,VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA),2021.0,4.0,3320,161.0,35.49,sábado,2020-01-23 21:45:00,4.39,5.0,21:45:00,
ANTIOQUIA,5873.0,VIGÍA DEL FUERTE,5873000.0,VIGÍA DEL FUERTE (VIGÍA DEL FUERTE - ANTIOQUIA),2021.0,4.0,93016,38286.0,313.98,miércoles,2020-01-23 21:45:00,11.43,5.0,21:45:00,
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",88001.0,SAN ANDRÉS,88001000.0,SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2021.0,4.0,15813363,4574773.0,26943.19,martes,2020-02-28 19:00:00,24.0,88.0,19:00:00,
BOLIVAR,13001.0,CARTAGENA DE INDIAS,13001007.0,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2021.0,4.0,17858,9518.0,177.26,sábado,2020-01-30 19:00:00,5.27,13.0,19:00:00,
BOLIVAR,13001.0,CARTAGENA DE INDIAS,13001037.0,ISLA MÚCURA (CARTAGENA DE INDIAS - BOLÍVAR),2021.0,4.0,6886,2794.0,20.32,viernes,2020-01-30 19:00:00,15.03,13.0,19:00:00,
BOLIVAR,13001.0,CARTAGENA DE INDIAS,13001017.0,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),2021.0,4.0,13114,4518.0,49.76,viernes,2020-01-30 19:00:00,10.52,13.0,19:00:00,
CAQUETA,18150.0,CARTAGENA DEL CHAIRÁ,18150001.0,REMOLINO DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2021.0,4.0,15248,7141.0,82.97,sábado,2020-01-21 19:15:00,8.13,18.0,19:15:00,
CAQUETA,18753.0,SAN VICENTE DEL CAGUÁN,18753002.0,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2021.0,4.0,11863,5017.0,41.06,viernes,2020-01-21 19:15:00,17.32,18.0,19:15:00,
CAQUETA,18753.0,SAN VICENTE DEL CAGUÁN,18753015.0,GUAYABAL (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2021.0,4.0,5789,3019.0,36.8,sábado,2020-01-21 19:15:00,6.54,18.0,19:15:00,
CAQUETA,18753.0,SAN VICENTE DEL CAGUÁN,18753009.0,PUERTO BETANIA (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2021.0,4.0,5149,2022.0,45.52,sábado,2020-01-21 19:15:00,5.26,18.0,19:15:00,
CASANARE,85430.0,TRINIDAD,85430001.0,BOCAS DEL PAUTO (TRINIDAD - CASANARE),2021.0,4.0,3573,2106.0,86.4,viernes,2020-02-23 19:00:00,1.44,85.0,19:00:00,
CAUCA,19318.0,GUAPI,19318008.0,LIMONES (GUAPI - CAUCA),2021.0,4.0,8156,3213.0,37.08,jueves,2020-01-15 18:45:00,9.19,19.0,18:45:00,
CAUCA,19318.0,GUAPI,19318013.0,SAN ANTONIO DE GUAJUÍ (GUAPI - CAUCA),2021.0,4.0,11498,3048.0,49.33,sábado,2020-01-15 18:45:00,9.35,19.0,18:45:00,
CAUCA,19418.0,LÓPEZ DE MICAY,19418024.0,BETANIA - NAYA (LÓPEZ (MICAY) - CAUCA),2021.0,4.0,6286,2119.0,28.64,lunes,2020-01-15 18:45:00,8.5,19.0,18:45:00,
CAUCA,19418.0,LÓPEZ DE MICAY,19418033.0,BOCA GRANDE (LÓPEZ (MICAY) - CAUCA),2021.0,4.0,4639,1015.0,33.28,jueves,2020-01-15 18:45:00,5.39,19.0,18:45:00,
CAUCA,19418.0,LÓPEZ DE MICAY,19418038.0,ISLA DE GALLO (LÓPEZ DE MICAY - CAUCA),2021.0,4.0,4112,1482.0,26.18,sábado,2020-01-15 18:45:00,6.42,19.0,18:45:00,
CAUCA,19418.0,LÓPEZ DE MICAY,19418009.0,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2021.0,4.0,7568,2427.0,40.0,viernes,2020-01-15 18:45:00,8.1,19.0,18:45:00,
CAUCA,19418.0,LÓPEZ DE MICAY,19418015.0,SAN ISIDRO (LÓPEZ DE MICAY - CAUCA),2021.0,4.0,915,326.0,6.34,martes,2020-01-15 18:45:00,6.06,19.0,18:45:00,
CAUCA,19418.0,LÓPEZ DE MICAY,19418019.0,ZARAGOZA (LOPEZ DE MICAY - CAUCA),2021.0,4.0,13407,5828.0,70.5,sábado,2020-01-15 18:45:00,9.32,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809014.0,CHACÓN (TIMBIQUÍ - CAUCA),2021.0,4.0,4119,987.0,28.08,viernes,2020-01-15 18:45:00,6.21,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809010.0,COMUNIDAD DE CHETE (TIMBIQUÍ - CAUCA),2021.0,4.0,6299,2199.0,37.22,sábado,2020-01-15 18:45:00,6.51,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809003.0,COTEJE (TIMBIQUÍ - CAUCA),2021.0,4.0,7360,4125.0,35.0,jueves,2020-01-15 18:45:00,8.31,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809026.0,LOS BRAZOS (TIMBIQUÍ - CAUCA),2021.0,4.0,8793,1608.0,49.2,sábado,2020-01-15 18:45:00,7.14,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809023.0,PUERTO SAIJA (TIMBIQUÍ - CAUCA),2021.0,4.0,27027,9253.0,180.05,jueves,2020-01-15 18:45:00,6.08,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809007.0,SAN JOSÉ (TIMBIQUÍ - CAUCA),2021.0,4.0,8109,5114.0,45.34,sábado,2020-01-15 18:45:00,7.21,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809008.0,SANTA MARÍA (TIMBIQUÍ - CAUCA),2021.0,4.0,15984,6527.0,77.38,jueves,2020-01-15 18:45:00,9.12,19.0,18:45:00,
CHOCO,27006.0,ACANDÍ,27006000.0,ACANDÍ (ACANDÍ - CHOCÓ),2021.0,4.0,556658,220397.0,1036.64,jueves,2020-01-17 20:45:00,22.21,27.0,20:45:00,
CHOCO,27006.0,ACANDÍ,27006003.0,CAPURGANÁ (ACANDÍ - CHOCO),2021.0,4.0,303988,112821.0,902.18,jueves,2020-01-17 20:45:00,19.41,27.0,20:45:00,
CHOCO,27006.0,ACANDÍ,27006007.0,SAN FRANCISCO (ACANDÍ - CHOCÓ),2021.0,4.0,21655,7659.0,131.71,jueves,2020-01-17 20:45:00,7.5,27.0,20:45:00,
CHOCO,27025.0,ALTO BAUDÓ (PIE DE PATO),27025000.0,CIUDAD BAUDÓ - PIE DE PATO (ALTO BAUDÓ - CHOCÓ),2021.0,4.0,46655,13827.0,113.34,jueves,2020-01-17 20:45:00,23.58,27.0,20:45:00,
CHOCO,27075.0,BAHÍA SOLANO (MUTIS),27075000.0,CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ),2021.0,4.0,634355,230615.0,1246.52,lunes,2020-01-17 20:45:00,23.5,27.0,20:45:00,
CHOCO,27075.0,BAHÍA SOLANO (MUTIS),27075001.0,CUPICA (BAHÍA SOLANO - CHOCÓ),2021.0,4.0,63113,23464.0,172.1,jueves,2020-01-17 20:45:00,23.17,27.0,20:45:00,
CHOCO,27075.0,BAHÍA SOLANO (MUTIS),27075002.0,EL VALLE (BAHÍA SOLANO - CHOCÓ),2021.0,4.0,147693,65713.0,323.4,jueves,2020-01-17 20:45:00,23.3,27.0,20:45:00,
CHOCO,27077.0,BAJO BAUDÓ (PIZARRO),27077905.0,BUENAVISTA (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2021.0,4.0,5813,1022.0,22.82,miércoles,2020-01-17 20:45:00,10.6,27.0,20:45:00,
CHOCO,27077.0,BAJO BAUDÓ (PIZARRO),27077000.0,PIZARRO (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2021.0,4.0,199840,95308.0,394.42,jueves,2020-01-17 20:45:00,24.0,27.0,20:45:00,
CHOCO,27099.0,BOJAYÁ (BELLAVISTA),27099000.0,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ),2021.0,4.0,98307,13956.0,219.78,jueves,2020-01-17 20:45:00,19.59,27.0,20:45:00,
CHOCO,27099.0,BOJAYÁ (BELLAVISTA),27099002.0,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2021.0,4.0,12049,5517.0,60.8,martes,2020-01-17 20:45:00,9.12,27.0,20:45:00,
CHOCO,27099.0,BOJAYÁ (BELLAVISTA),27099005.0,NAPIPÍ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2021.0,4.0,11723,3565.0,64.0,jueves,2020-01-17 20:45:00,7.14,27.0,20:45:00,
CHOCO,27099.0,BOJAYÁ (BELLAVISTA),27099008.0,PUERTO CONTO (BOJAYÁ (BELLAVISTA) - CHOCO),2021.0,4.0,11317,2854.0,69.6,miércoles,2020-01-17 20:45:00,6.24,27.0,20:45:00,
CHOCO,27250.0,EL LITORAL DEL SAN JUAN,27250000.0,SANTA GENOVEVA DE DOCORDÓ (EL LITORAL DEL SAN JUAN - CHOCÓ),2021.0,4.0,66994,36181.0,172.79,miércoles,2020-01-17 20:45:00,16.48,27.0,20:45:00,
CHOCO,27372.0,JURADÓ,27372000.0,JURADÓ (JURADÓ - CHOCÓ),2021.0,4.0,154670,71127.0,302.88,miércoles,2020-01-17 20:45:00,23.57,27.0,20:45:00,
CHOCO,27425.0,MEDIO ATRATO (BETÉ),27425000.0,BETÉ (MEDIO ATRATO (BETÉ) - CHOCÓ),2021.0,4.0,21552,10592.0,80.0,jueves,2020-01-17 20:45:00,12.42,27.0,20:45:00,
CHOCO,27495.0,NUQUÍ,27495001.0,ARUSÍ (NUQUÍ - CHOCO),2021.0,4.0,11045,4619.0,48.0,martes,2020-01-17 20:45:00,9.48,27.0,20:45:00,
CHOCO,27495.0,NUQUÍ,27495912.0,COMUNIDAD INDÍGENA DE PANGUÍ - EL YUCAL (NUQUÍ - CHOCÓ),2021.0,4.0,3300,1400.0,11.23,jueves,2020-01-17 20:45:00,20.02,27.0,20:45:00,
CHOCO,27495.0,NUQUÍ,27495000.0,NUQUÍ (NUQUÍ - CHOCÓ),2021.0,4.0,247974,80087.0,480.48,jueves,2020-01-17 20:45:00,24.0,27.0,20:45:00,
CHOCO,27495.0,NUQUÍ,27495011.0,PUERTO JAGUA (NUQUÍ - CHOCÓ),2021.0,4.0,794,1653.0,6.74,viernes,2020-01-17 20:45:00,7.29,27.0,20:45:00,
CHOCO,27800.0,UNGUÍA,27800001.0,BALBOA (UNGUÍA - CHOCÓ),2021.0,4.0,20040,8148.0,84.22,sábado,2020-01-17 20:45:00,9.59,27.0,20:45:00,
CHOCO,27800.0,UNGUÍA,27800005.0,TITUMATE (UNGUÍA - CHOCÓ),2021.0,4.0,15783,4726.0,79.29,jueves,2020-01-17 20:45:00,9.09,27.0,20:45:00,
CHOCO,27800.0,UNGUÍA,27800000.0,UNGUÍA (UNGUÍA - CHOCÓ),2021.0,4.0,402583,143376.0,873.84,jueves,2020-01-17 20:45:00,22.11,27.0,20:45:00,
GUAINIA,94343.0,BARRANCOMINAS,94343000.0,BARRANCOMINAS (BARRANCOMINAS - GUAINÍA),2021.0,4.0,57209,20041.0,188.72,jueves,2020-02-01 18:45:00,13.3,94.0,18:45:00,
GUAINIA,94001.0,INÍRIDA,94001000.0,INÍRIDA (INÍRIDA - GUAINÍA),2021.0,4.0,1551312,521989.0,3218.16,jueves,2020-02-01 18:45:00,23.57,94.0,18:45:00,
