DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS,ID DEPARTAMENTO,HORA DEMANDA MÁXIMA,CATEGORIA_ZNI
NARIÑO,52835,SAN ANDRES DE TUMACO,52835055,BOCAS DE CURAY (TUMACO - NARIÑO),2020,1,6548,1273,57.6,Viernes,2020-01-31 18:45:00,4.37,52,18:45:00,0
NARIÑO,52835,SAN ANDRES DE TUMACO,52835012,CHAJAL (TUMACO - NARIÑO),2020,1,3350,902,145.55,Viernes,2020-01-31 18:45:00,0.55,52,18:45:00,0
NARIÑO,52835,SAN ANDRES DE TUMACO,52835016,PITAL DE LA COSTA (TUMACO - NARIÑO),2020,1,16992,9518,88.0,Viernes,2020-01-31 18:45:00,8.36,52,18:45:00,0
NARIÑO,52835,SAN ANDRES DE TUMACO,52835212,PUEBLO NUEVO (TABLÓN SALADO) (TUMACO - NARIÑO),2020,1,2339,798,20.8,Viernes,2020-01-31 18:45:00,4.47,52,18:45:00,0
NARIÑO,52835,SAN ANDRES DE TUMACO,52835217,SAN JUAN DE LA COSTA (SAN ANDRÉS DE TUMACO - NARIÑO),2020,1,19090,9321,153.6,Viernes,2020-01-31 18:45:00,5.54,52,18:45:00,0
NARIÑO,52835,SAN ANDRES DE TUMACO,52835091,SANTA ROSA (TUMACO - NARIÑO),2020,1,1250,328,31.81,Viernes,2020-01-31 18:45:00,1.33,52,18:45:00,0
NARIÑO,52835,SAN ANDRES DE TUMACO,52835148,TABLÓN DULCE LA PAMPA (TUMACO - NARIÑO),2020,1,1487,388,28.1,Viernes,2020-01-31 18:45:00,2.19,52,18:45:00,0
NARIÑO,52696,SANTA BARBARA (ISCUANDE),52696014,LA ENSENADA (SANTA BÁRBARA (ISCUANDÉ) - NARIÑO),2020,1,4466,5060,28.35,Viernes,2020-01-31 18:45:00,5.49,52,18:45:00,0
NARIÑO,52696,SANTA BARBARA (ISCUANDE),52696017,SANTA RITA (SANTA BARBARA (ISCUANDÉ) - NARIÑO),2020,1,2126,1005,37.76,Viernes,2020-01-31 18:45:00,2.15,52,18:45:00,0
PUTUMAYO,86573,PUERTO LEGUIZAMO,86573009,PIÑUÑA NEGRO (PUERTO LEGUÍZAMO - PUTUMAYO),2020,1,3942,1771,28.8,Viernes,2020-02-28 19:45:00,6.15,86,19:45:00,0
PUTUMAYO,86573,PUERTO LEGUIZAMO,86573000,PUERTO LEGUÍZAMO (PUERTO LEGUÍZAMO - PUTUMAYO),2020,1,934496,349113,2149.84,Viernes,2020-02-28 19:45:00,23.57,86,19:45:00,2
VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,PUERTO MERIZALDE (BUENAVENTURA - VALLE DEL CAUCA),2020,1,43466,13886,254.14,Viernes,2020-01-31 23:45:00,6.29,76,23:45:00,0
VALLE DEL CAUCA,76109,BUENAVENTURA,76109032,SAN FRANCISCO NAYA (BUENAVENTURA - VALLE DEL CAUCA),2020,1,6560,2113,36.58,Viernes,2020-01-31 23:45:00,7.0,76,23:45:00,0
VAUPES,97161,CARURU,97161000,CARURÚ (CARURÚ - VAUPÉS),2020,1,26507,9259,97.68,Jueves,2020-02-27 19:00:00,12.24,97,19:00:00,0
